Index,Country_Name,Country_Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Percent_Change,Latitude,Longitude
60,Kazakhstan,KAZ,12.1,14.7,12.6,13.5,14.2,13.9,14.6,13.3,14,14.3,14.2,0.852112676,48,68
61,Latvia,LVA,3.8,3.6,3.4,3.9,3.6,3.4,3.4,3.4,3.5,3.5,3.4,1.117647059,57,25
62,Lithuania,LTU,3.9,3.9,3.6,4,3.8,3.9,3.7,3.6,3.6,3.7,3.8,1.026315789,56,24
63,Malaysia,MYS,6.7,7,6.2,6.8,6.7,6.6,7,7.3,7.2,6.9,6.7,1,2.5,112.5
64,Malta,MLT,6.7,6.6,6.1,6.2,6.2,6.5,5.6,5.4,3.7,3,3.3,2.03030303,35.8333,14.5833
65,Moldova,MDA,2.1,2.1,2,2.2,2.2,2.2,1.9,2,2.1,2.2,2.1,1,47,29
66,Mozambique,MOZ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.333333333,-18.25,35
67,Nigeria,NGA,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,10,8
68,Pakistan,PAK,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.9,0.9,1,30,70
69,Paraguay,PRY,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,1,1.1,0.545454545,-23,-58
70,Peru,PER,1.1,1.2,1.3,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.5,0.733333333,-10,-76
71,Philippines,PHL,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1,1,1.1,1.2,0.666666667,13,122
72,Romania,ROU,4.4,4.4,3.8,3.7,4,3.9,3.5,3.4,3.5,3.5,3.6,1.222222222,46,25
74,Russia,RUS,10.7,10.9,10.1,10.7,11.2,11.2,10.9,10.8,10.6,10.5,10.6,1.009433962,60,100
75,Saudi Arabia,SAU,13.2,14,14.2,15.3,15.4,15.9,15.7,16.5,16.8,16.3,16.2,0.814814815,25,45
76,Singapore,SGP,8.3,7.9,7.8,8.4,8.6,8.2,8.1,8.1,8.2,8.2,8.4,0.988095238,1.3667,103.8
77,Slovenia,SVN,7.8,8.3,7.4,7.5,7.5,7.2,6.9,6.2,6.2,6.6,6.5,1.2,46,15
78,South Africa,ZAF,7.8,8.4,7.8,8.1,7.7,7.9,8,8.1,7.6,7.5,7.4,1.054054054,-29,24
79,Sudan,SDN,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,15,30
80,Taiwan,TWN,11.6,11.1,10.5,11.1,11,10.6,10.7,10.7,10.7,10.9,11.4,1.01754386,23.5,121
81,Tanzania,TZA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,-6,35
82,Thailand,THA,3.2,3.2,3.1,3.3,3.3,3.5,3.6,3.6,3.6,3.5,3.5,0.914285714,15,100
83,Ukraine,UKR,6.6,6.4,5.4,5.8,6.1,6,5.8,5.2,4.2,4.4,3.8,1.736842105,49,32
84,United Arab Emirates,ARE,20.5,21.3,19.4,18.7,18.2,18.9,19.6,19.4,20.4,20.7,20.9,0.980861244,24,54
85,Uruguay,URY,1.7,2.2,2.2,1.8,2.1,2.4,2.1,1.8,1.9,1.8,1.7,1,-33,-56
87,Vietnam,VNM,1,1.2,1.3,1.4,1.4,1.4,1.4,1.6,2,2,2,0.5,16,106
88,Zambia,ZMB,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.4,0.25,-15,30
89,Serbia,SRB,6.9,6.8,6.3,6.3,6.9,6.2,6.3,5.3,6.3,6.4,6.6,1.045454545,44,21
90,Montenegro,MNE,3.4,4.4,2.8,4.2,4.1,3.8,3.7,3.6,3.8,3.4,3.5,0.971428571,42,19
91,Angola,AGO,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.6,0.833333333,-12.5,18.5
92,Bahrain,BHR,22.1,22.1,20.7,20.6,20,20.1,21.5,22.2,21.9,20.8,20,1.105,26,50.55
